metric,value_2022,value_2023,value_2024,unit
Cash and balances with central banks,14994,10943,16131,€ million
Due from credit institutions,1329,2354,2196,€ million
Loans and advances to customers,41677,41576,50953,€ million
Investment securities,13261,14710,22184,€ million
Total assets,81471,79815,101151,€ million
Due to central banks,8774,3771,0,€ million
Due to credit institutions,1814,3078,2800,€ million
Deposits from customers,57297,57842,78860,€ million
Total liabilities,74804,72283,92515,€ million
Total equity,6667,7532,8636,€ million
